1,4000,11.24404,0.05222
1,5656,31.66975,0.64250
1,8000,87.53109,0.14451
1,11313,259.83674,1.82239



2,4000,9.87683,0.00679
2,5656,27.89443,0.01965
2,8000,77.82317,0.03747
2,11313,222.84680,0.22818



4,4000,9.37597,0.00359
4,5656,26.93672,0.01247
4,8000,75.91835,0.01923
4,11313,215.08223,3.02682



8,4000,9.32999,0.00692
8,5656,26.99470,0.01998
8,8000,76.38928,0.02464
8,11313,215.88686,0.13785



16,4000,10.07357,0.00818
16,5656,28.65138,0.01445
16,8000,79.09831,0.02870
16,11313,216.72178,1.61943
